title,seakpeek,date,link
기록 제조기 카카오게임즈…'2연상' 가능할까?,카카오게임즈가 SK바이오팜에 이어 상장일 '따상(공모가 2배 시초가 형성 후 상한가)'을 기록하며 증시에 화려하게 데뷔했다. 상장일 매도 가능한 유통주식 수가 SK바이오팜 대비 2배 이상 ...,2020.09.11 08:26,https://paxnetnews.com/articles/65144
"롯데지주, 해외법인 2곳 롯데칠성에 넘겨",롯데지주는 10일 이사회를 열고 펩시콜라 필리핀법인 주식 15억5939만주(715억원)와 롯데주류 일본법인 주식 9만주(205억원)를 롯데칠성에 현물출자한다고 이날 공시했다. 이번 현물출자...,2020.09.10 18:12,https://paxnetnews.com/articles/65171
"티웨이항공, 720억 유상증자 재도전",티웨이항공이 유상증자에 재도전한다. 지난 7월 500억원 규모의 유상증자 추진이 실패로 돌아간 이후 약 한달 반만에 다시 유상증자에 나선 것이다. 티웨이항공은 주주배정 후 실권주 일반공모 ...,2020.09.10 18:05,https://paxnetnews.com/articles/65162
"한기평 ""호텔롯데·신라, 연내 신용등급 하락 가능성""",호텔롯데와 호텔신라 등 주요 면세기업들의 신용등급이 연중 하락할 여지가 커지고 있다. '코로나19' 사태가 지속되는 가운데 하반기에도 실적 부진이 이어지고 재무구조 또한 취약해질 수 있다는...,2020.09.10 17:49,https://paxnetnews.com/articles/65167
"이원컴포텍, 바이러스 진단키트 사업 진출",코로나 바이러스 감염증(COVID-19)의 확산이 이어지는 가운데 이원컴포텍은 바이러스 진단키트 사업에 진출한다고 10일 밝혔다. 이원컴포텍은 PCR(유전자증폭) 방식 등 기존의 바이러스 ...,2020.09.10 17:37,https://paxnetnews.com/articles/65168
"우리들휴브레인, 코로나19 진단키트 유럽공급 본격화",우리들휴브레인이 수젠텍과 해외 수출을 위한 코로나19 항체 신속진단키트(SGTi-flex COVID-19 IgM/IgG) 구매 발주 계약을 체결했다고 10일 밝혔다. 우리들휴브레인은 구매 ...,2020.09.10 17:36,https://paxnetnews.com/articles/65166
"대림산업, 내년 1월부터 지주사 전환",대림산업이 각 사업부문을 분할하고 지주사 체제로 전환하는 기업 분할을 감행한다. 대림산업은 10일 이사회를 열고 지주회사와 2개의 사업회사로 분할하는 방안을 의결했다고 밝혔다. 인적·물적분...,2020.09.10 16:46,https://paxnetnews.com/articles/65160
"이트론, 비대면 화상회의 솔루션 사업 진출",ICT(정보·통신·기술) 기업 이트론이 엔빌정보기술과 '비대면 화상회의 솔루션사업' 업무 협약을 체결했다고 10일 밝혔다. 엔빌정보기술은 인공지능(AI) 기술 기반의 화상회의 소프트웨어 전...,2020.09.10 13:50,https://paxnetnews.com/articles/65146
"메디포럼·메디포럼제약, 경영권 분쟁 일단락",코스닥 상장사 메디포럼제약의 경영권을 둘러싼 다툼이 일단락 됐다. 메디포럼과 메디포럼제약이 쌍방으로 얽힌 법적 분쟁을 끝내고 각자의 길을 걷기로 합의했다. 메디포럼제약은 에이치엘비(HLB)...,2020.09.10 08:42,https://paxnetnews.com/articles/65111
공모주 열풍 시대,청약 열풍이 거세지면서 공모주 시장의 허점이 드러나고 있다. 청약증거금을 많이 낼수록 공모주를 많이 배정 받는 현재 방식이 개인투자자에게 불리하다는 지적이다. 금융투자협회의 '증권 인수업무...,2020.09.10 08:34,https://paxnetnews.com/series/65121
"'뱅크', '페이지'...카카오게임즈 잇는 '2호' 상장사는?",카카오게임즈가 역대급 기업공개(IPO) 흥행을 기록하면서 현재 상장을 추진 중인 카카오페이지와 카카오뱅크의 공모 시점에 시장의 이목이 쏠리고 있다. 현재 IPO 준비 면에서는 카카오페이지가...,2020.09.10 08:34,https://paxnetnews.com/articles/65128
"미래에셋운용, 美 아마존 물류센터 3곳 인수",미래에셋자산운용이 미국 아마존물류센터 3곳에 투자한다. 약 1700만달러를 투자해 물류센터의 지분을 인수한 뒤 배당금을 받는 형식으로 수익을 낼 예정이다. 9일 관련업계에 따르면 미래에셋자...,2020.09.09 15:19,https://paxnetnews.com/articles/65112
"에이티세미콘, 건기식 사업 박차",에이티세미콘은 관계사 에이펙셀이 미국 식품의약국(FDA)에 접수한 건강기능식품 '막고랑복고랑'이 이달말쯤 판매 승인을 받을 것으로 보인다고 9일 밝혔다. '막고랑복구랑'이란 이름은 코로나 ...,2020.09.09 14:25,https://paxnetnews.com/articles/65109
"의료용 지혈제 기업 이노테라피, GMP 인증",의료용 지혈제 전문기업 이노테라피가 식품의약품안전처로부터  4등급 의료기기 제조 및 품질관리기준 (KGMP) 적합 인증을 획득다고 9일 밝혔다.  GMP는 제조업자가 생산하는 제품이 안전하...,2020.09.09 09:42,https://paxnetnews.com/articles/65091
무역금융外 1.4조 라임 부실펀드도 전액 배상 될까?,라임자산운용(이후 라임)의 부실펀드를 판매했던 판매사들이 금융당국의 무역금융펀드 전액배상 권고안을 수용한 이후 남아있는 라임 부실펀드(플루토 FI D-1호·테티스 2호·CI 1호)의 손실 ...,2020.09.09 08:40,https://paxnetnews.com/articles/65072
공모주 열풍 시대,공모주 청약에서 연일 기록적인 경쟁률이 나타나면서 투자자들은 장외주식시장과 공모주 펀드로 눈을 돌리고 있다. 주식을 배정받을 가능성이 낮은 청약 시장보다는 장외 시장과 펀드를 통해 우량 종...,2020.09.09 08:39,https://paxnetnews.com/series/65071
"대어급 등장에 불붙은 IPO 시장, 주관 경쟁 치열","올해 기업공개(IPO) 시장에서 NH투자증권의 독주가 이어지고 있다. SK바이오팜, 빅히트엔터테인먼트 등 '조단위' 시가총액 딜을 잇달아 맡으면서 주관 실적 격차를 크게 벌린  NH투자증권...",2020.09.09 08:39,https://paxnetnews.com/articles/65070
"IPO '삼수생' 레인보우로보틱스, 기술 논란 불식 '심혈'","휴머노이드(인간 형태) 로봇 '휴보(HUBO)'를 개발한 레인보우로보틱스가 올해 기업공개(IPO)에 도전한다. 지난 2018년, 2019년에 이어 3번째로 성장성 특례 상장에 나선다. 다만...",2020.09.09 08:38,https://paxnetnews.com/articles/65033
해외 재간접 펀드 '쇼크' 줄줄이 환매 중단,"해외 자산운용사의 채권형 사모펀드에 투자한 재간접 공모펀드의 환매가 중단되면서 운용업계에 다시 먹구름이 드리우고 있다. 유럽, 미국에서 운용되는 모펀드 운용의 차질로 국내에서도 잇딴 환매 ...",2020.09.08 14:54,https://paxnetnews.com/articles/65067
만나봤더니,전자부품제조 전문 기업 시노펙스가 자체 보유한 필터 기술을 활용해 의료기기 제조·유통 시장에 진출한다. 조만간 생산 시설을 구축하고 상용화를 위한 인증 작업에 나설 예정이다.  박병주 시노...,2020.09.08 14:38,https://paxnetnews.com/series/65065
"UCI 자회사 바이오엑스, 면역세포치료 기술 도입",코스닥 상장사 UCI는 관계사인 미국의 온코펩(OncoPep)이 마나테라퓨틱스(MANA Therapeutics)의 면역세포 치료 기술(MTAA-T)을 기술이전(License In)했다고 8...,2020.09.08 14:33,https://paxnetnews.com/articles/65066
"우수AMS, 푸조시트로엥과 손잡았다…""글로벌 부품사 도약""",코스닥 상장사 우수AMS(우수에이엠에스)가 세계 4위 완성차 업체인 푸조시트로엥 그룹(PSA)과 자동차 부품 공급 계약을 체결하며 글로벌 자동차 부품 기업으로 도약하고 있다. 지난 7월 미...,2020.09.08 13:30,https://paxnetnews.com/articles/65060
"DST, '금산에코밸리' 조성사업 본격 추진된다",코스닥 상장사 DST의 청정 신재생 에너지 타운 조성이 본격화된다.  DST는 지난 3일 '금산 에코밸리 조성사업'과 관련한 민원을 원만히 해결하고 주민들과 상생협약을 체결했다고 8일 밝혔...,2020.09.08 12:10,https://paxnetnews.com/articles/65062
"화장품업체 엔에프씨, 코스닥 상장 재도전",화장품 소재기업 엔에프씨가 기업공개(IPO)에 나선다. 올 초 상장을 철회했던 엔에프씨가 재차 상장에 도전하면서 재무적투자자(FI)들도 투자금 회수에 대한 기대감을 키우게 됐다. 7일 투자...,2020.09.08 10:16,https://paxnetnews.com/articles/65039
명동 프리즘,코로나19 여파는 명동 기업자금시장에도 미치고 있다. 일단 거래 자체는 큰 문제가 없으나 기업 관련 정보를 수집하는 대면모임 자체가 감소한 것. 아무래도 민감한 정보의 경우 직접 만나 주고...,2020.09.08 08:58,https://paxnetnews.com/series/65019
투자매력분석,"콘텐츠 플랫폼 기업을 표방한 빅히트엔터테인먼트(이하 빅히트)가 상장을 앞두고 몸값(시가총액) 비교기업으로 연예 기획사 외에 네이버와 카카오 두 곳을 포함시켰다. 상장 주관사인 NH투자증권,...",2020.09.08 08:39,https://paxnetnews.com/series/64995
"선지급 제안받은 부실 사모펀드 투자자, '동의'할까?",상반기 사모펀드 환매 중단으로 문제를 빚었던 증권사들이 피해금액 보전을 위한 선지급 절차를 밟고 있다. 유동성이 부족한 일부 투자자들 사이에서는 판매사인 증권사가 제시한 동의안을 성급히 받...,2020.09.08 08:38,https://paxnetnews.com/articles/65025
"같은 펀드, 다른 보상...證, 사모펀드 해법 '중구난방'",라임 자산운용(이하 라임)의 환매 중단된 사모펀드 피해금액이 1조6000억원을 넘어섰다. 라임 펀드를 판매했던 증권사들은 도의적 책임을 다하기 위해 저마다 피해 보전방식을 내놓고 있다. 하...,2020.09.08 08:38,https://paxnetnews.com/articles/64964
공모주 열풍 시대,올해 공모주 전성시대가 열렸다. 상반기중 신종 코로나바이러스감염증(코로나19)으로 침체됐던 공모시장은 SK바이오팜의 상장을 계기로 부활에 성공했다. 빅히트엔터테인먼트 등 대어급 기업이 연내...,2020.09.08 08:37,https://paxnetnews.com/series/65032
"회사채 발행앞둔 삼척블루파워, 대규모 주관사단 구성",삼척블루파워(AA-)가 1000억원 회사채 발행을 앞두고 6곳의 주관사단을 구성했다. '포스파워'에서 이름을 바꾼 후 6개월만에 다시 나선 회사채 시장에서 흥행을 위한 행보다.  7일 투자...,2020.09.08 08:37,https://paxnetnews.com/articles/65027
Check! 내부거래,삼양패키징이 최근 삼양사로부터 공급받는 PET CHIP(페트칩) 물량을 대폭 축소한 것으로 나타났다. 재계 일각에서는 삼양그룹이 공정거래위원회(공정위) 지정 대기업집단에 포함될 즈음 양사간...,2020.09.08 08:24,https://paxnetnews.com/series/64983
"한국코퍼레이션, 임시주총서 경영권 이양 완료",한국코퍼레이션은 한국코퍼레이션 본사 8층에서 열린 임시 주주총회에서 신규 이사 선임 안건을 처리했다고 7일 밝혔다. 새 최대주주로 경영권이 이양된 한국코퍼레이션은 경영 정상화 및 거래 재개...,2020.09.07 15:56,https://paxnetnews.com/articles/65034
"소리바다 스테어, '태권트롯' 나태주 홍보모델 발탁",인기 프로그램 미스터트롯 출신 가수 겸 배우 나태주가 소리바다 패션 브랜드 '스테어'와 손을 잡았다. 소리바다는 '태권트롯'으로 유명한 가수 나태주를 자체 패션 브랜드 스테어의 광고 모델로...,2020.09.07 11:51,https://paxnetnews.com/articles/65016
기자수첩,'동학 개미 운동'은 그야말로 파죽지세다. 돈이 될만한 '알짜' 기업 주식에는 어김없이 개인투자자들의 뭉칫돈이 몰린다. 동학 개미들은 비상장 주식도 가리지 않고 투자한다. 이미 기업공개(I...,2020.09.07 08:32,https://paxnetnews.com/series/64857
투자매력분석,방탄소년단(BTS)이 빅히트엔터테인먼트(이하 빅히트)의 방시혁 대표에게 주식을 증여받으며 주식 부호로 이름을 올렸다. 다만 증여규모가 과세표준 상한선인 30억원을 넘어서는 만큼 증여 주식가...,2020.09.07 08:28,https://paxnetnews.com/series/64943
"신한금융, 최대 5000억 신종자본증권 발행 착수",신한금융지주가 최대 5000억원 규모의 상각형 조건부자본증권 신종자본증권 발행에 착수했다. 주관사단과 수요예측 일정 등을 확정하면서 이달 중순 조달을 마칠 예정이다. 신한금융지주는 이번 신...,2020.09.07 08:28,https://paxnetnews.com/articles/64986
"신세계, TK에 프리미엄 아울렛 연다","신세계사이먼이 경상북도 경산시에 대구 경북권 최초의 프리미엄 아울렛 사업을 추진한다. 신세계사이먼은 4일 경산시청에서 경상북도, 경산시 등과 함께 '경산 프리미엄 아울렛' 투자 협약을 체결...",2020.09.04 16:21,https://paxnetnews.com/articles/64990
"지드래곤 사는 나인원 한남, 내년 3월 조기 분양",디에스한남이 현 임차인을 대상으로 '나인원한남'의 양도 절차를 진행한다고 4일 밝혔다. 나인원한남은 한남대교 북단 한남대로변에 자리한 아파트다. 대신에프앤아이 자회사인 디에스한남이 민간임대...,2020.09.04 14:21,https://paxnetnews.com/articles/64973
"윙입푸드, 온라인 기업설명회 개최",중국 육가공식품업체 윙입푸드가 하반기에도 적극적 경영활동을 통한 주주가치 향상에 노력하겠다고 4일 밝혔다. 윙입푸드는 이날 온라인으로 열린 비대면 방식의 기업설명회(IR)를 통해 상반기 실...,2020.09.04 13:30,https://paxnetnews.com/articles/64971
"시노펙스, MB필터 제조 방법·장치 특허 등록",시노펙스가 멜트블로운(MB)필터 제조 관련 특허를 받았다. 시노펙스는 '관형필터를 MB 방식으로 제조하는 방법·장치-다층구조형성을 위한 제조방식'과 관련해 특허청으로부터 1일자로 특허권이 ...,2020.09.04 10:03,https://paxnetnews.com/articles/64960
투자매력분석,일반적으로 엔터테인먼트 기업의 성공은 소속 아이돌의 흥행과 직결된다. 유가증권 시장 상장을 준비 중인 빅히트 엔터테인먼트(빅히트) 역시 이런 공식에서 자유롭지 않다. 글로벌 아이돌 BTS를...,2020.09.04 08:40,https://paxnetnews.com/series/64794
'비슷하지만 다른' 한투證·NH證 옵티머스 해법,NH투자증권이 옵티머스자산운용(이하 옵티머스) 사태와 관련한 유동성 선지급안을 발표하며 피해원금의 최대 70%까지 금액을 지원하겠다고 밝혔지만 투자자들 사이에서 볼멘소리가 이어진다. 지난 ...,2020.09.04 08:38,https://paxnetnews.com/articles/64883
"삼성證, 2500억 회사채 발행 '선제적 유동성' 확보",삼성증권(AA+)이 올해 2월에 이어 7개월 만에 공모 회사채 발행을 위해 분주하다. 대내외 불확실성 확대와 저금리 기조가 이어진 상황에서 선제적인 유동성 확보를 위한 행보다. 3일 투자은...,2020.09.04 08:36,https://paxnetnews.com/articles/64885
"에이치엘비, 메디포럼제약 M&A 순탄할까",에이치엘비그룹이 메디포럼제약 인수·합병(M&A)에 나선 가운데 메디포럼제약의 기존 최대주주인 메디포럼이 M&A의 변수로 여겨지고 있다. 메디포럼이 메디포럼제약을 상대로 신주발행무효 소송을 ...,2020.09.04 08:36,https://paxnetnews.com/articles/64930
투자매력분석,빅히트엔터테인먼트(이하 빅히트)가 최근 가장 집중하는 영역은 지식재산권(IP) 사업이다. 세계 최정상급 가수로 올라선 방탄소년단(BTS)을 중심으로 소속 연예인(아티스트)의 이미지·캐릭터를...,2020.09.04 08:35,https://paxnetnews.com/series/64813
"한국거래소, 'KRX BBIG K-뉴딜지수' 선보인다",한국 경제의 패러다임 전환을 견인할 선도기업으로 구성된 'KRX BBIG K-뉴딜지수' 5종이 다음 주 발표된다.   한국거래소는 정부의 한국판 뉴딜 종합계획의 비전을 구체화하기 위해 오는...,2020.09.03 16:57,https://paxnetnews.com/articles/64940
"금융권, '한국판 뉴딜' 적극 동참 화답","금융권이 향후 5년간 총 170조원이 투자되는 한국판 뉴딜 프로젝트에 적극적 동참을 약속하고 있다.  은행연합회, 금융투자협회, 생명보험협회, 손해보험협회, 여신금융협회, 저축은행중앙회 등...",2020.09.03 16:24,https://paxnetnews.com/articles/64939
"유비벨록스, 현대車그룹 NFC카드키 공급 확대",스마트 카드 및 모바일 솔루션 전문기업 유비벨록스가 현대자동차에 스마트카드키 공급을 확대하고 있다고 3일 밝혔다.  유비벨록스가 공급하는 NFC카드키는 근거리 무선통신 기술이 적용된 스마트...,2020.09.03 11:01,https://paxnetnews.com/articles/64919
몰리는 '개미' 감당 못하는 키움證…MTS 사고 재발,키움증권 모바일 트레이딩 시스템(MTS)에서 또 다시 거래사고가 일어났다. 최근 액면분할된 테슬라 주식의 가격 변동을 인지하지 못하는 시스템상 허점 탓에 개인투자자의 주식이 강제로 매매되는...,2020.09.03 10:19,https://paxnetnews.com/articles/64914
"역대급 카카오게임즈 IPO 청약, '59조' 몰렸다",카카오게임즈가 일반 투자자 대상 청약에서 60조원에 육박하는 자금(증거금)을 끌어모으면서 역대 최대 규모 흥행을 기록했다. 청약 경쟁률은 1500대 1이 넘어선다. 높은 경쟁률 탓에 다수 ...,2020.09.03 10:14,https://paxnetnews.com/articles/64906
투자매력분석,빅히트엔터테인먼트(이하 빅히트)가 기업공개(IPO)를 앞두고 기업 최대 자산이자 대표 아티스트(연예인)인 방탄소년단(BTS)에게 회사 주식을 배분하는 결정을 단행했다. BTS와의 관계가 단...,2020.09.03 09:55,https://paxnetnews.com/series/64903
투자매력분석,유가증권시장 입성을 추진 중인 빅히트엔터테인먼트(빅히트)의 가장 큰 무기는 단연 BTS다. 신종 코로나바이러스감염증(코로나19)에도 전세계 시장에서 굳건한 인기를 보이며 최대 수익원으로 역...,2020.09.03 09:22,https://paxnetnews.com/series/64678
데스크칼럼,"'배상이냐, 보상이냐'  부실 사모펀드 후폭풍에 휩싸인 국내 금융투자업계의 딜레마다.   배상과 보상은 모두 발생한 손실을 갚아주는 행위다. 다만 발생 피해를 정당화한다는 점은 같지만 원인...",2020.09.03 08:51,https://paxnetnews.com/series/64758
"키스톤PE, KMH 2대주주 등극",사모투자펀드(PEF) 운용사 키스톤프라이빗에쿼티(이하 키스톤PE)가 코스닥 상장사 KMH의 2대주주로 올라섰다. 조만간 KMH 경영진에 주주제안 등 적극적인 주주행위에 나설 것으로 전망된다...,2020.09.03 08:43,https://paxnetnews.com/articles/64897
